Name;Duration
Blaszczyk, Michal / Marta, Mateusz;6:01.6
Lausen, Niels Oluf / Nielsen, Simon Frimand;6:11.6
Posanz, Joachim / Kleinert, Nico;6:21.6
Mehnert, Kirsten / Schulz, Michael;6:30.5
Szychulski, Krzysztof / Sawina, Lukasz;6:32.1
Rozlazly, Nikolaus / Zygmunt, Tomasz;6:33.6
Vrána, Zdeněk / Zeman, Aleš;6:38.6
Reuter, Sven / Oser, Ferdinand;6:39.9
Fegyverneki, Mate / Windischmann, David;6:47.9
Brandmann, Andreas / Ravanelli, Renato;6:51.6
Carama, Gibi / Schwartz, Jacob;6:56.8
Rische, Jan-Nick / Menzel, Justus;6:57.0
Kamatari, Jonathan / Vejleskov, Kristian;7:04.1
Heene, Marc / Strauß, Martin;7:13.2
Mack, Hendrik / Sustrate, Manfred;7:14.0
Leblond, Samuel / Kummer, Maximilian;7:15.1
Diedrigkeit, Tobias / Robert, Markus;7:18.3
Zoltak, Anna / Jandura, Adrian;7:21.7
Heine, Philipp / Windisch, Rick;7:23.4
Freitag, Paul / Böge, Matthias;7:24.0
Mathies, Lucas-Constantin / Brack, Tom;7:28.9
Thierbach, Marcel / Raabe, Bert;7:32.3
Wulf, Mirko / Töpfer, Tino;7:32.9
Skou Nielsen, Heinz / Kovlij, Said;7:35.8
Olszewski, Lukasz / Gutkowski, Adam;7:38.5
Hennig, Nico / Pause, Benjamin;7:40.3
David, Christian / Kühne, André;7:43.5
Rothe, Nick / Sturm, Michel;7:48.8
Krause, Peter / Götzelmann, Alexander;7:49.1
Klingler, Sebastian / Wildfeuer, Raik;7:52.2
Kaplan, Christian / Stumpf, Andreas;7:53.6
Collotta, Nicola / Oradini, Andrea;7:53.9
Hebenstreit, Martin / Gremmes, Sebastian;7:53.9
Norman, Michael / Vinterby, Lasse;7:56.3
Thiel, Dominik / Matheis, Stefan;7:57.5
Tschampel, Dennis / Jahn, Sullivan;7:57.8
Herbstsommer, Bernd / Martin, Florian;8:01.2
Jensen, Mikkel / Emil, Røsling;8:01.6
Dittrich, Alan / Wilhelm, Andreas;8:06.6
Schönherr, Frank / Kober, Matthias;8:11.2
Brehmer, Peter / Altendorf, Philip;8:14.6
Eisenhauer, Jonas / Winterhoff, Marlon;8:19.1
Furdan, Dániel / Furdan, Balasz;8:22.4
Wahl, Torsten / Kempf, Daniel;8:22.5
Kluge, Fabian / Keller, Lukas;8:27.5
Moller, Lasse / Overgaard, William;8:28.1
Treager, Søren / Duus, Maja;8:29.9
Löschke, Susanne / Gertrack, Philipp;8:31.2
Briesemeister, Jan / Rohkemper, Alex;8:36.7
Tappe, Janis / Khattab, Ali;8:37.1
Eberspächer, Fabian / Feuchter, Christian;8:37.5
Günther, Sebastian / Tittelbach, Alexander;8:39.3
Fechtner, Manuel / Sturm, Jochen;8:39.6
Engelhardt, Andreas / Rau, Christian;8:42.4
Maaß, Florian / Lettow, Jasper;8:45.7
Rohkohl, Benjamin / Busse, Andreas;8:45.8
Heßdörfer, Florian / Segeritz, Adam;8:45.9
Reichelt, Kai / Jagusch, Adrian;8:46.4
Stübing, Alexander / Schwenninger, Steffen;8:47.1
Scurla, Michael / Nickel, Marco;8:49.6
Strauß, Christian / Heinrich, Jens;8:51.1
Ruder, Daniel / Lorenz, Mathias;8:56.7
Littfinski, Martin / Gruß, Marcel;8:57.2
Jobski, Florian / Albrecht, Thomas;8:57.3
Steen, Björn / Jünemann, Marcel;8:57.3
Kirn, Pascal / Häring, Michael;8:57.8
Schou, Jimmy / Jensen, Henrik Rønnø;8:58.1
Probst, Luis / Soranno, Luca;8:59.9
Schimmeck, Benjamin / Dahlgrün, Cyril;9:00.6
Andersen, Kenneth Bo / Tofte, Henrik;9:00.7
Rüttinger, Benedikt / McCollister, Niklas;9:01.1
Eberhardt, Sven / Krause, Oliver;9:01.8
Kröger, Torsten / Hinze, Eric;9:02.0
Zimmermann, Rico / Munzert, Philipp;9:02.1
Küpers, Christian / Linnemann, Yannic;9:02.3
Olsen, Mathias / Olsen, Rune;9:04.4
Richter, Willy / Makiola, Nils;9:04.7
Rosenkranz, Kay / Albers, Marc;9:07.5
John, Sven / Schairer, Ralf;9:08.4
Heppner, Max / Fröhlich, Tobias;9:08.6
Börner, Philipp / Bauer, Alexander;9:08.9
Mooser, Phillip / Burtchen, Carlo;9:09.6
Maihöfer, Benedikt / Tietze, Franziska;9:10.0
Dalbach, Sarah Scheel / Hansen, Eske;9:11.1
Kossmann, Patrick / Greis, Alexander;9:11.3
Ronneberger, Friedrich / Schindler, Christian;9:11.5
Block, Finn Ole / Lucius, Monique;9:13.0
