"Name1";"Name2";"Category";"Time"
"Marta,Mateusz";"Blaszczyk, Michal";"Youngster";05:53.00
"Lausen,Niels Oluf ";"Nielsen, Simon Frima";"Youngster";06:21.40
"Prášil,Vojtěch";"Vrana, Zdenek";"Oldies";06:28.00
"Fegyverneki,Maté";"Windischmann, David";"Youngster";06:34.30
"Mehnert,Kirsten";"Schütze, Mathias";"Oldies";06:48.40
"Töpfer,Tino";"Wulf, Mirko";"Youngster";06:52.80
"Posanz,Joachim";"Walter, Jens";"Oldies XL";07:09.50
"Thierbach,Marcel";"Raabe, Bert";"Youngster";07:14.70
"Diedrigkeit,Tobias";"Markus, Robert";"Youngster";07:18.50
"Żółtak,Anna";"Kucala, Konrad";"Mix";07:19.90
"Furdan,Dániel";"Furdan, Balázs";"Oldies";07:30.40
"Sturm,Michel";"Rothe, Nick";"Youngster";07:31.20
"Schimmeck,Benjamin";"Schulze, Tim";"Youngster";07:34.10
"Hennig,Nico";"Pause, Benjamin";"Oldies";07:34.20
"Heine,Philipp";"Windisch, Rick";"Youngster";07:40.40
"Møller,Lasse";"Belling, Matias A.";"Youngster";07:41.50
"Rische,Jan-Nick";"Menzel, Justus";"Youngster";07:49.10
"Blut,Ingo";"Grüner, Christian";"Youngster";07:49.50
"Opitz,Nico";"Flade, Rick";"Oldies";07:52.70
"Heene,Marc";"Spitzner, Arnd";"Youngster";07:56.20
"Berger,Thomas";"Günther, Steffen";"Oldies XL";07:58.10
"Stumpf,Andreas";"Kaplan, Christian";"Oldies";08:00.40
"David,Christian";"Kühne, André";"Oldies";08:08.90
"Bloch,Joel";"Waldvogel, Mano";"Youngster";08:09.80
"Fröhlich,Felix";"Eberhard, Jörg";"Oldies";08:11.10
"Ramolla,Mario";"Agsten, Sven";"Oldies XL";08:16.00
"Wangelin,Marvin";"Müller, Nico";"Youngster";08:16.10
"Färber,Jörg";"Bodusch, Uwe";"Oldies";08:19.70
"Puchta,Matthias";"Reimann, Christoph";"Youngster";08:20.20
"Matthias,Weickmann";"Matheis, Stefan";"Oldies";08:22.30
"Sauermann,Tobias";"Börner, Philipp";"Youngster";08:23.70
"Brehmer,Peter";"Altendorf, Philip";"Youngster";08:24.60
"Kröger,Torsten";"Eichelbaum, Erik";"Youngster";08:25.10
"Lettow,Jasper";"Maaß, Florian";"Youngster";08:26.00
"Jakubek,Katarzyna";"Lekki, Bartek";"Mix";08:26.10
"Traub,Achim";"Brechlin, Markus";"Youngster";08:28.80
"Camara,Gibi";"Schwartz, Jacob";"Oldies";08:28.90
"Schubert,Toni";"Rostalski, Kevin";"Youngster";08:29.60
"Goedecke,Matthias";"Köster, Mirco";"Youngster";08:30.30
"Briesemeister,Jan";"Rohkemper, Alexande";"Youngster";08:32.50
"Schuberth,Sebastian";"Heller, Christoph";"Youngster";08:32.70
"Lau,Dominik";"Eckelt, Yannick";"Youngster";08:34.00
"Ramaker,Sven";"Grote-Lambers, Katri";"Mix";08:35.40
"Ehrler,Tobias";"Machalke, Martin";"Youngster";08:35.90
"Herbstsommer,Bernd";"Martin, Florian";"Youngster";08:36.20
"Müller,Jonas";"Zoschke, Stephan";"Youngster";08:41.30
"Friedrich,Elias";"Rausch, Fabian";"Youngster";08:43.10
"Ziesch,Stephan";"Boigk, Thomas";"Oldies";08:43.80
"Bamberg-Mailänder,J";"Helwig, Lars";"Oldies";08:44.40
"Jagusch,Adrian";"Reichelt, Kai";"Oldies";08:44.80
"Egner,Gunnar";"Pedrosa, Adrian";"Oldies";08:44.90
"Funk,André";"Minderlein, Christoph";"Youngster";08:45.20
"Michala,Sascha";"Schimank, Daniel";"Oldies";08:46.60
"Sickert,Florian";"Hauschild, Richard";"Youngster";08:49.60
"Suhrmeyer,Guido";"Cantrell, Simon";"Oldies XL";08:51.70
"Krautwurst,Florian";"Lutat, Christian";"Youngster";08:52.60
"Block,Finn Ole ";"Lucius, Monique";"Mix";08:52.80
"Polzin,Claudio";"Müller, Dennis";"Youngster";08:54.40
"Roidl,Steve";"Pyka, Damian";"Oldies";08:55.10
"Barthel,Leon";"Stürzner, Ralf";"Youngster";08:55.30
"Burkhardt,Ronald";"Stoll, Levi";"Youngster";08:56.50
"Bantel,Michael";"Höher, Julian";"Youngster";08:56.80
"Segeritz,Adam";"Heßdörfer, Florian";"Youngster";08:58.50
"Schulz,David";"Klein, Isabell";"Mix";08:58.70
"Wilken,Björn";"Burow, Jascha";"Youngster";09:01.90
"Olsen,Rune";"Olsen, Mikkel";"Youngster";09:02.70
"Dittrich,Alan";"Bulach, Moritz";"Youngster";09:02.80
"Jørgensen,Kim Cohr ";"Jensen, Henrik Rønnø";"Oldies";09:03.30
"Bochmann,Erik";"Hampel, Johannes";"Youngster";09:04.30
"Kohrs,Karsten-Kala";"Obermann, Jens";"Oldies";09:05.60
"Bark,Hannes";"Kubik, Alexander";"Youngster";09:08.90
"Graß,Christoph";"Schöppl, Janis";"Youngster";09:08.90
"Coban,Baris";"Dercks, Sebastian";"Youngster";09:09.70
"Buhse,Marion";"Schersath, Philip";"Youngster";09:11.90
"Fechtner,Manuel";"Sturm, Jochen";"Oldies XL";09:12.80
"Albrecht,Thomas";"Heeren, Keno";"Youngster";09:16.40
"Sprenger,Andreas";"Räthel, Laura";"Mix";09:17.30
"Scholz,Julius";"Stephan, Thomas";"Oldies";09:18.10
"Kraft,Manuel";"Hortmann, Felix";"Youngster";09:18.90
"Ferdyn,Daria";"Kaczmarek, Dagmara";"Ladies";09:20.70
"Ehrhardt,Karsten";"Zöller, Peter";"Oldies";09:20.90
"Wagner,Elias";"Exner, Nick";"Youngster";09:21.10
"Mooser,Phillip";"Burtchen, Carlo";"Youngster";09:22.00
"Nolte,Justus";"Wabbersen, Lars";"Youngster";09:24.20
"Walther,Dennis";"Lehmann, Manfred";"Youngster";09:24.70
"Mach,Agata";"Siuzdak, Dorota";"Ladies";09:24.80
"Tittelbach,Alexander";"Günther, Sebastian";"Oldies";09:24.80
"Ropelato,Mattia";"Nardon, Yuri";"Youngster";09:27.40
"Fromme,Alex";"Voigt, Thorben";"Oldies";09:30.40
"Westphal,Finn";"Czerwinski, Florian";"Youngster";09:30.80
"Bantel,Hannes";"Bantel, Michel";"Youngster";09:31.40
"Hain,Kay";"Neupert, Karsten";"Oldies";09:32.90
"Rohkohl,Benjamin";"Busse, Andreas";"Youngster";09:35.10
"Roder,Torben";"Marx, Fabian";"Youngster";09:35.80
"Wilke,Lukas";"Przyborowski, Timo";"Youngster";09:35.80
"Scholz,Dominic";"Gapp, Simon";"Youngster";09:37.60
"Weichert,Thomas";"Weichert, Paul";"Youngster";09:39.40
"Wernicke,Roman";"Thäle, Michael";"Oldies";09:39.70
"Gerber,Jonathan";"Gerber, Jörg";"Oldies";09:46.10
"Ludwig,Tim";"Zeino, Luis";"Youngster";09:46.30
"Brandt,Sebastian";"Meyer, Christian";"Youngster";09:46.50
"Buhle,Nico";"Pade, Silvio";"Oldies";09:48.90
"Kesenne,Alice";"Claes, Denis";"Mix";09:49.90
"Schou,Jimmy";"Burgdorf, Sofie";"Mix";09:50.40
"Büttner,Matthias";"Selent, Fabian";"Oldies";09:51.00
"Hinze,Eric";"Bukowski, Nico";"Youngster";09:56.70
"Küpers,Christian";"Linnemann, Yannic";"Youngster";09:58.20
"Streiter,Maarten";"Blümel, Florian";"Youngster";09:58.60
"Clicqué,Heiko";"Schaffrath, Thomas";"Oldies XL";10:00.50
"Mader,Torben";"Mader, Tobias";"Youngster";10:00.80
"Götze,Robert";"Hoffmann, Simon";"Youngster";10:01.90
"Zimmat,Pascal";"Szolkovy, Markus";"Youngster";10:03.40
"Scurla,Michael";"Nickel, Marco";"Youngster";10:06.20
"Erasmy,Sebastian";"Siebels, Markus";"Youngster";10:07.10
"Brandes,Marian Kim ";"Sonnenberg, Helge";"Oldies";10:08.60
"Windt,Florian";"Jakob, Andreas";"Youngster";10:09.40
"Bohl,Maximilian";"Specht, Marcel";"Youngster";10:10.80
"Weber,Danny";"Waack, Tim";"Youngster";10:13.20
"Zoffmann,Marcus";"Von Elling, Simon";"Youngster";10:13.70
"Schramm,Swen";"Abel, Leon";"Youngster";10:13.90
"Stoek,Bettina";"Teucher, Martin";"Mix";10:14.10
"Duda,Natalie";"Puza, Krzysztof";"Mix";10:15.30
"Rüttinger,Benedikt";"Mitterweger, Mark";"Youngster";10:15.90
"Kuhz,Marcus";"Hübscher, Tim";"Youngster";10:16.20
"Wolsing,Julie";"Kizilkaya, Mehmet";"Mix";10:18.10
"Rogler,Johannes";"Sommermann, André";"Youngster";10:18.20
"Späth,Sven";"Weiß, Alexander";"Oldies";10:18.80
"Chimm,Otto";"Müller, Toni";"Youngster";10:21.10
"Graulier,Remi";"Dervaux, Tom";"Youngster";10:21.20
"Reitz,Desirée";"Reitz, Alexander";"Mix";10:21.20
"Urbach,Verena";"Juffa, Marco";"Mix";10:21.50
"Diederich,Marco";"Kohlscheen, Steve";"Youngster";10:22.10
"Wegner,Andreas";"Boldt, Robert";"Youngster";10:22.10
"Walprecht, Luca";"Stork, Friedjof";"Youngster";10:22.10
"Witschaß, Manuel";"Ansorge, Rocco";"Youngster ";10:23.60
"Fröhlich, Tobias";"Knebel, Claudia";"Mix";10:24.00
"Mooser, Hagen";"Pietsch, Ingo";"Oldies XL";10:25.50
"Köhler, Maximilian";"Gertz, Lucas";"Youngster";10:26.30
"Schwerdt, Björn";"Hoffmann, Vivienne";"Youngster";10:27.10
"Leonardi, Andrea";"Di Gioia, Alessandro";"Mix";10:27.20
"Blümmert, Fabian";"Greis, Alexander";"Youngster";10:28.10
"Hawellek, Julian";"Michaelis, Jörn";"Youngster";10:30.10
"Wehmeyer, Benjamin";"Wziontek, Brian";"Youngster";10:30.50
"Murner, Steven";"Borchert, Felix";"Youngster";10:31.40
"Harnath, Philipp";"Basto, Lenny";"Youngster";10:33.30
"Schalcher, Thorsten";"Schalcher, Leander";"Youngster";10:33.60
"Peulicke, Ida";"Petersen, Ditte W";"Youngster";10:35.00
"Bahlo, Richard";"Richter, Franz";"Ladies ";10:35.00
"Klisch, Andreas";"Wahl, Thorsten";"Oldies";10:35.80
"Peltzer, Phillipp";"Ziebell, Nick";"Youngster";10:36.20
"Weinert, Maximilian";"Neisch, Steffen";"Youngster";10:37.60
"Faustini, Patrick";"Zamboni, Patrick";"Youngster";10:38.20
"Meyer, Axel";"Peters, Florian";"Oldies XL";10:38.70
"Dralle, Jörn";"Gromeier, Ben";"Youngster";10:38.80
"Kolloch, Daniel";"Leigers, Elmar";"Youngster";10:39.20
"Fleerkortte, Mario";"Kirstein, Florian";"Oldies XL";10:39.30
"Niewöhner, Bastian";"Zimmermann, Jan Ga";"Youngster";10:39.90
"Müller, Finn";"Schmidt, Vincent";"Youngster";10:41.10
"Scholz, Patrick";"Heinrich, Steve";"Youngster";10:41.30
"Bertagnolli, Daniele";"Pederzolli, Manuel";"Youngster";10:42.30
"Berlanda, Claudio";"Carli, Roberto";"Youngster";10:45.40
"Bartoli, Alessio";"Torbol, Saverio";"Youngster";10:45.60
"Brüders Mario";"Brüders Noah";"Youngster";10:47.50
"Schröder, Alexander";"Vogler, Mark";"Oldies";10:50.60
"Koch, Petra";"Bohun, Jasmin";"Ladies";10:53.90
"Väth, Jonathan";"Peterhänsel, Fynn";"Youngster";10:54.00
"Heiko, Baier";"Winkler, Marcel";"Youngster";10:55.30
"Ranne, Markus";"Savolainen, Riku";"Youngster";10:56.10
"Stölzel, Florian";"Döring, Martin";"Youngster ";10:56.40
"Beyer, Dennis";"Burisch, Julian";"Youngster";10:56.80
"Koch, Matthias";"Jungnickel, Evelyn";"Mix";10:57.00
"Jennrich, Christoph";"Giering, Jonas";"Youngster";10:57.20
"Breuer, Steffen";"Pfützner, Marcel";"Oldies";10:57.20
"Biener, Sebastian";"Diering, Justin";"Youngster";10:59.30
"Murati, Adrian";"Schmidt, Björn";"Youngster";11:00.40
"Christian ,Zein";"Els, Michael";"Oldies";11:05.70
"Hänel, Michael";"Furchtbar, Jonas";"Youngster";11:05.80
"Gabriel, Philipp";"Lückert, Konstantin";"Youngster";11:07.30
"König, Kai";"Kögler, Niels Philip";"Youngster";11:07.70
"Laumer, Justin";"Nelles, Daniel";"Youngster";11:08.30
"Hoffmann-Timmol, M";"Jensen, Carsten";"Oldies XL";11:08.40
"Peltoniemi, Jari";"Heinilä, Kari";"Oldies";11:11.90
"Daniels, Leif";"Brunnert, Dominik";"Youngster";11:12.30
"Rossi, Luca";"Manca, Giacomo";"Youngster";11:12.70
"Jensen, Mikkel";"Blom, Mathias Z";"Youngster";11:13.00
"Struck, Pascal";"Stahmer, Joshua";"Youngster";11:13.40
"Passin, Maurice";"Kunze, Alexander";"Youngster";11:13.90
"Frizzi, Stefano";"Markart, Aaron-Robe";"Youngster";11:14.90
"Marx, Jens";"Hentze-Johansen, Sve";"Oldies";11:15.20
"Marx, Nele";"Feldgiebel, Bernd";"Mix";11:15.40
"Ehrich, Jonas";"Gierth, Jana";"Mix";11:15.90
"Deuchert, Jan-Eric";"Forster, Marie Joseph";"Mix";11:16.80
"Schwock, Jan";"Scheppke, Robin";"Youngster";11:19.10
"Weiland, Mathis";"Kreis, Benedikt";"Youngster";11:19.20
"Köbke, Patrick Jeppese";"Frandsen, Marc Öbac";"Youngster";11:19.60
"Wagner, Jason";"Kopp, Niklas";"Youngster";11:19.90
"Zwicker, Jan";"Grimm, Bryan";"Youngster";11:20.30
"Posanz, Andrea";"Schönewald, Melanie";"Ladies";11:20.70
