Position;BIB;Name;Team;Country;Time;Gap
1;60;BAILONI CLAUDIO;VIGOLO VATTARO;ITA;00:08:07;
2;76;ORADINI ANDREA;BEZZECCA;ITA;00:08:26;+19
3;157;LUDOVICO DEZULIAN;CANAZEI;ITA;00:08:28;+22
4;15;LONGHI MATTEO;PEIO;ITA;00:08:54;+48
5;41;NONES NICOLA;GRUMES;ITA;00:08:56;+50
6;13;SIMI GABRIELE;MADONNA DI CAMPIGLIO;ITA;00:09:02;+56
7;46;MORANDINI LORENZO;PREDAZZO;ITA;00:09:15;+1:09
8;12;MATHEIS STEFAN;FREIWILLIGE FEUERWEHR;GER;00:09:17;+1:11
9;32;TRINCO LEONARDO;ROVERETO;ITA;00:09:19;+1:12
10;20;MICHELONI MARCO;VATTARO;ITA;00:09:27;+1:21
11;67;ANZELINI LORENZO;VATTARO;ITA;00:09:29;+1:22
12;119;TORMENA ALEX;VADENA;ITA;00:09:30;+1:24
13;30;ZAPPACOSTA MATTEO;CNVVF;ITA;00:09:31;+1:25
14;24;IORIATTI NICOLA;BEDOLLO;ITA;00:09:32;+1:26
15;109;LUDESCHER MARTIN;OLTRISARCO/ASLAGO;ITA;00:09:39;+1:33
16;43;PICCINI MICHELE;LONA LASES;ITA;00:09:46;+1:40
17;57;SALVATERRA MIKE;VIGO - DARÈ;ITA;00:09:51;+1:45
18;9;DAL FARRA ENRICO;CNVVF COMANDO DI;ITA;00:09:54;+1:47
19;2;ROPELATO MATTIA;RIVA DEL GARDA;ITA;00:09:56;+1:49
20;11;COMACCHIO SIMONE;CNVVF COMANDO DI PADOVA;ITA;00:09:59;+1:52
21;14;SIMI MATTIA;MADONNADI CAMPIGLIO;ITA;00:10:09;+2:03
22;91;ALESINA ANDREA;CNVVF COMANDO DI;ITA;00:10:10;+2:03
23;25;ANDREATTA GIANLUCA;BEDOLLO;ITA;00:10:14;+2:08
24;42;MOOZ LUKÁŠ;HZSP SPOLCHEMIE;CZE;00:10:15;+2:09
25;140;COPPI MATTIA;DISTACCAMENTO;ITA;00:10:17;+2:11
26;16;FIAMOZZINI NICHOLAS;PINZOLO;ITA;00:10:23;+2:16
27;82;TONDIN LORENZO;CEMBRA;ITA;00:10:26;+2:20
28;52;MONACO ALESSANDRO;ROVERETO;ITA;00:10:33;+2:27 MARIO
29;84;FERRARA GIUSEPPE;CNVVF;ITA;00:10:35;+2:29
30;88;SARTI FEDERICO;CNVVF COMANDO DI TORINO;ITA;00:10:36;+2:30
31;129;TRAVAGLIA FRANCESCO;ARCO;ITA;00:10:39;+2:32
32;37;CRESTANI DANIELE;DISTACCAMENTO VOLONTARI;ITA;00:10:40;+2:34
33;103;CONCI GUIDO;LEVICO TERME;ITA;00:10:40;+2:34
34;120;SGARBOSSA FABIO;VADENA;ITA;00:10:44;+2:37
35;96;MARCHISIO ENRICO;DISTACCAMENTO;ITA;00:10:44;+2:38
36;77;TARDIVO LORENZO;BRENTONICO;ITA;00:10:48;+2:41
37;68;MODENA RICCARDO;ARCO;ITA;00:10:51;+2:44
38;27;BOLOGNANI TIZIANO;CAVEDINE;ITA;00:10:53;+2:46
39;63;BAILONI MATTEO;VIGOLO VATTARO;ITA;00:10:53;+2:46
40;116;PELLEGRIN ALESSANDRO;SORAGA;ITA;00:10:58;+2:52
41;26;NICOLUSSI DANIELE;CALDONAZZO;ITA;00:11:01;+2:55
42;1;ANTONINI MASSIMO;RIVA DEL GARDA;ITA;00:11:01;+2:55
43;137;VANZO MICHELE;DISTACCAMENTO VOLONTARI;ITA;00:11:03;+2:57
44;78;DOSSI EUGENIO;BRENTONICO;ITA;00:11:05;+2:59
45;94;MARINI MATTEO;DISTACCAMENTO VOLONTARI;ITA;00:11:06;+2:59
