Rnk;No;Team;Name 1;Name 2;Nat;Time;Difference;Category;Age Group
9;178;Bavaria meets Saxonia;MATHEIS Stefan;THIEL Dominik;GER;7:08.300;+1:31.890;M;Männer
10;27;1/44/1;RAABE Bert;THIERBACH Marcel;GER;7:11.990;+1:35.580;M;Männer
11;132;BF Göttingen;STANGE René;WEGERICH Moritz;GER;7:14.520;+1:38.110;M;Männer
12;123;BwF5;DIETRICH Rene;OPITZ Nico;GER;7:14.780;+1:38.370;M;Männer 80
13;129;Elbläufer;DIEDRIGKEIT Tobias;SCHIMECZEK Nico;GER;7:16.390;+1:39.980;M;Männer
14;182;BwF6;KUBIS Georg;WüSTEFELD Florian;GER;7:21.680;+1:45.270;M;Männer
15;174;Stairrunners Gotha;KNAKOWSKI Lukas;SCHRöTER Daniel;GER;7:30.510;+1:54.100;M;Männer 80
18;177;Hamburger Elbjungs;KUMMER Maximilian;LEBLOND Samuel;GER;7:34.170;+1:57.760;M;Männer
19;138;Umkleide 5;HARTMANN Tobias;LACHMANN Alexander;GER;7:35.750;+1:59.340;M;Männer
21;130;AMB-Feuerwehr Technik;KORNEL Nagy;WINDISCHMANN Dávid;HUN;7:36.950;+2:00.540;M;Männer
22;230;Ost/West;SCHIRRA Hendrik;WEIß Alexander;GER;7:42.500;+2:06.090;M;Männer
23;83;Feuerwehr Gera;HEIM Alexander;RAWE Henning;GER;7:49.000;+2:12.590;M;Männer
26;87;BFEF WA-A;KIRCHNER Phillip;SCHRÖTER Fabian;GER;7:59.090;+2:22.680;M;Männer
28;222;TFA-Team Hamburg 1;BLOCK Finn;MATHIES Lucas-Constantin;GER;8:05.280;+2:28.870;M;Männer
29;59;TFA Team Schwedt/Oder;LETTOW Jasper;MAAß Florian;GER;8:06.820;+2:30.410;M;Männer
30;28;Vertical Fire Runners;JäGER Robert;KARG Martin;GER;8:08.150;+2:31.740;M;Männer 80
31;237;Feuerwehr Schmellwitz 112;MEWES Luca;WEICHERT Paul;GER;8:08.590;+2:32.180;M;Männer
33;131;Fire Czech;MOOZ Lukas;ZAPLETAL Karel;CZE;8:10.910;+2:34.500;M;Männer
34;175;Fokus Blaulicht/ Feuerwehr Kra;SCHLEICHER Til;THOMAS Michael;GER;8:12.160;+2:35.750;M;Männer
35;88;FF Oberhof;KRAUSE Pascal;POSER Jonas;GER;8:13.830;+2:37.420;M;Männer
37;229;Kirschflitzer;MARKS Christian;OERTELT-GRIMM Florian;GER;8:19.260;+2:42.850;M;Männer
38;97;Hochfranken Stepper;HELLER Christoph;SCHUBERTH Sebastian;GER;8:19.360;+2:42.950;M;Männer
39;11;Team Ostsachsen 1;HAUSCHILD Richard;SICKERT Florian;GER;8:22.410;+2:46.000;M;Männer
40;94;FireFit Europe;BERGER Daniel;KOHLMEIER Tobias;GER;8:25.820;+2:49.410;M;Männer
41;173;Firefighter Stair Climb 2 NL;MOL Jeffrey;DROST, Remco;NED;8:26.433;+2:50.023;M;Männer 100
42;56;Oberlind-Eisfeld;ENGELHARDT Andreas;LEIPOLD Torsten;GER;8:26.460;+2:50.050;M;Männer 80
43;2;Feuerwehr Mahlberg Team 1;OBERGFÖLL Felix;MÜLLER Felix;GER;8:26.600;+2:50.190;M;Männer
44;260;Nachnennung;HOPPE Mike;SONNENBERG Helge; ;8:27.160;+2:50.750;M;Männer 100
45;100;Fokus.Blaulicht / Feuerwehr Ge;LANGENHAHN Erik;RENKER Sean;GER;8:31.650;+2:55.240;M;Männer
47;5;BF Zwickau;BLUT Ingo;ROTH Rosario;GER;8:41.150;+3:04.740;M;Männer
50;91;BwF2;BANTEL Michael;HöHER Julian;GER;8:49.070;+3:12.660;M;Männer
51;33;Team Hof der Qualen 2;JAGUSCH Adrian;REICHELT Kai;GER;8:49.450;+3:13.040;M;Männer
52;146;Pass op, Hasi !;WESTER Julia;FRANKE Martin;GER;8:52.620;+3:16.210;MIX;
53;12;TFA Team Mitte 3;FREIMUTH Marius;GREIS Alexander;GER;8:53.570;+3:17.160;M;Männer
54;119;Feuerwehr Goslar 3;MANN, Lukas;RÖNEKE Niklas;GER;8:54.440;+3:18.030;M;Männer
55;86;Turnow/Siewisch;GUTSCHE Michael;PAHN Markus;GER;8:55.730;+3:19.320;M;Männer
56;147;Klipphausen 3;GüNZEL Markus;ROST Wendel;GER;8:55.890;+3:19.480;M;Männer
57;219;Frankenblitz;DöRR Lukas;ZEH  Nick ;GER;8:59.670;+3:23.260;M;Männer
58;172;BwFw Holzdorf;GüNTHER Steffen;KAISER Jan;GER;9:01.500;+3:25.090;M;Männer
61;171;Feuerwehrsport Team Rheinland;FETTING Stefan;LINDLEIN Marius;GER;9:04.340;+3:27.930;M;Männer
62;154;Firefighter Stair Climb 1 NL;SCHARLOO Bas;VAN MECHELEN Alex;NED;9:05.310;+3:28.900;M;Männer
63;148;Pfaffendorf/Niederschlesien;LORENZ Lukas;MENZEL Toni;GER;9:05.660;+3:29.250;M;Männer
64;199;Team Ostsachsen 3;KNEBEL Claudia;FRöHLICH Tobias;GER;9:07.180;+3:30.770;MIX;
66;63;TFA Runners;HERBORN Björn;PÄTZOLT Daniel;GER;9:08.200;+3:31.790;M;Männer
67;103;BwF12;MüLLER Jonas;ZOSCHKE Stephan;GER;9:08.750;+3:32.340;M;Männer
68;93;Team Ostsachsen 2;JäSCHKE Friedrich;MILDNER Julian;GER;9:12.270;+3:35.860;M;Männer
69;16;HWB Merseburg/WF Tesla;KUNZ René;TäNZER Mirko;GER;9:16.480;+3:40.070;M;Männer 80
70;231;BF Suhl;HäUSLER Peter;SPäTH Sven;GER;9:17.590;+3:41.180;M;Männer 80
71;232;Fokus.Blaulicht - Feuerwehr Ge;HEMMANN Norma;WEDEL Florian;GER;9:17.980;+3:41.570;MIX;
73;40;Competition Team Badem;BAEHREN Nico;KOHLEI Fabian;GER;9:21.460;+3:45.050;M;Männer
74;39;BwF9;KIEHL Maximilian;SCURLA Michael;GER;9:22.090;+3:45.680;M;Männer
75;32;TFA-Team Hamburg 5;SCHNEIDEREIT Kirsten;SCHWERDT Björn;GER;9:27.020;+3:50.610;MIX;
76;43;Feuerwehr Etzenricht 1;PLEIER Johannes;RöSCH Tobias;GER;9:30.270;+3:53.860;M;Männer
77;17;Team Hof der Qualen 1;KOHRS Karsten;MEIRITZ Maik;GER;9:31.140;+3:54.730;M;Männer 100
78;127;Brombeercity Firefighters;AUWEILER Leon;HOSE Tristan;GER;9:32.050;+3:55.640;M;Männer
80;112;TFA Team Mitte Mix;URBACH Verena;JUFFA Marco;GER;9:40.610;+4:04.200;MIX;
81;60;Treppenjäger;BOTHUR Sebastian;SIGG Dominik;GER;9:40.780;+4:04.370;M;Männer
82;46;Dienstfrei;THOMSEN Ken;HENGELHAUPT Thorsten;GER;9:40.960;+4:04.550;M;Männer
84;134;TFA Team Hamburg 2;HOFFMANN Vivienne;MENZEL Justus;GER;9:42.460;+4:06.050;MIX;
85;165;Schmellwitzer Bouletten;BASTO Lenny;HARNATH Philipp;GER;9:45.020;+4:08.610;M;Männer
86;116;Firefighter Challenge Team M;BRANDES Marian;KULHAWY Alexander;GER;9:48.680;+4:12.270;M;Männer
87;207;Feuerwehr Spiesen / Ottweiler;SCHUMACHER Marcel;GOTTFRIED Alexander;GER;9:49.860;+4:13.450;M;Männer
88;85;Solefighter;SCHREITMüLLER Steve;WEBER Paul;GER;9:52.200;+4:15.790;M;Männer
90;226;Ober trifft Unter 2.0;BAUER Lukas;BAUER Hannes;GER;9:55.180;+4:18.770;M;Männer
91;169;FF Gotha 2;HAUWETTER Jochen;VOGT Sebastian;GER;9:57.280;+4:20.870;M;Männer
92;168;Der Osten Rockt;KADE Anett;LUCIUS Monique;GER;9:58.000;+4:21.590;W;
93;67;Fw Ziegendorf;PAULI Vincent;PöHL Silvio;GER;10:02.790;+4:26.380;M;Männer
94;135;Team Hof der Qualen 3;PETERS Florian;SöMMER Vincent;GER;10:02.970;+4:26.560;M;Männer
95;144;BwF13;MICHAELIS Jörn;WOLDT Paul;GER;10:04.100;+4:27.690;M;Männer
97;221;Feuerwehr Mahlberg Team 4;STUDER Dominik;HILLER Marcus;GER;10:07.130;+4:30.720;M;Männer
98;89;Bechstedt-Wagd Team 1;HASENOHR Sandro;ROHR Ricardo;GER;10:07.230;+4:30.820;M;Männer
99;34;Restdruck 112;SCHAAL Martin;GÖRMS Florian;GER;10:07.570;+4:31.160;M;Männer
